   9.4433782305369063e-01	   3.7105971198463414e-02	   1.5504819689244628e-02	   2.8217841791950849e-03	   2.2200750215423484e-04	   7.4864061331361387e-06	   1.0732002818659697e-07	   6.4943926028836808e-10	   1.6496721859131576e-12	   1.7544351870454838e-15	   0.0000000000000000e+00	
   2.4389263680868273e-02	   9.2381475542171110e-01	   3.5507416333937385e-02	   1.3783922678632713e-02	   2.3292292542537018e-03	   1.7002605915109197e-04	   5.3155769187904824e-06	   7.0598008188209514e-08	   3.9558780132999698e-10	   9.3004415301503064e-13	   9.1591836970756887e-16	
   5.5594980883086871e-03	   2.1728828076947624e-02	   9.2473798545047248e-01	   3.3756741988174563e-02	   1.2173850363423973e-02	   1.9099540695982390e-03	   1.2934680167021344e-04	   3.7487956798782695e-06	   4.6125888578876196e-08	   2.3931447990394549e-10	   5.2120915339851978e-13	
   6.7133888287239569e-04	   5.9273898311780855e-03	   2.3769622138696541e-02	   9.2541041903447552e-01	   3.1883587507649004e-02	   1.0681445426122049e-02	   1.5557981037718476e-03	   9.7742996414654156e-05	   2.6260027401631150e-06	   2.9932004318271612e-08	   1.4407539148371942e-10	
   4.1386966944429440e-05	   8.0804490375666158e-04	   6.9357897353987587e-03	   2.5832525859674240e-02	   9.2581915741335818e-01	   2.9918371489127800e-02	   9.3105828536483737e-03	   1.2589269811102159e-03	   7.3367336289977206e-05	   1.8270833311833291e-06	   1.9377360095265350e-08	
   1.2750384629927540e-06	   5.4702153636916055e-05	   1.0119572861174895e-03	   8.0624356784828235e-03	   2.7891483925832461e-02	   9.2595629183493455e-01	   2.7891483925832471e-02	   8.0624356784828165e-03	   1.0119572861174901e-03	   5.4702153636908235e-05	   1.2750384629986724e-06	
   1.9377360091248538e-08	   1.8270833311911819e-06	   7.3367336289975566e-05	   1.2589269811102096e-03	   9.3105828536483807e-03	   2.9918371489127800e-02	   9.2581915741335818e-01	   2.5832525859674261e-02	   6.9357897353987605e-03	   8.0804490375665204e-04	   4.1386966944432584e-05	
   1.4407539229170001e-10	   2.9932004312216021e-08	   2.6260027401661223e-06	   9.7742996414662098e-05	   1.5557981037718420e-03	   1.0681445426122064e-02	   3.1883587507648976e-02	   9.2541041903447552e-01	   2.3769622138696531e-02	   5.9273898311780803e-03	   6.7133888287239797e-04	
   5.2121103425194906e-13	   2.3931448226308677e-10	   4.6125888569269790e-08	   3.7487956798858649e-06	   1.2934680167021618e-04	   1.9099540695982290e-03	   1.2173850363423971e-02	   3.3756741988174549e-02	   9.2473798545047248e-01	   2.1728828076947638e-02	   5.5594980883086863e-03	
   9.1390625682964925e-16	   9.3004585150618350e-13	   3.9558780186795296e-10	   7.0598008187807597e-08	   5.3155769187943093e-06	   1.7002605915109325e-04	   2.3292292542536996e-03	   1.3783922678632717e-02	   3.5507416333937378e-02	   9.2381475542171110e-01	   2.4389263680868273e-02	
   7.7456396652451671e-19	   1.7512926435445382e-15	   1.6496695609533313e-12	   6.4943927078330306e-10	   1.0732002818606756e-07	   7.4864061331362793e-06	   2.2200750215423042e-04	   2.8217841791950845e-03	   1.5504819689244630e-02	   3.7105971198463414e-02	   9.4433782305369063e-01	
